Spacy-TSVD_1,Spacy-TSVD_2,Spacy-TSVD_3,Spacy-TSVD_4,Spacy-TSVD_5,Spacy-TSVD_6,Spacy-TSVD_7,Spacy-TSVD_8,Spacy-TSVD_9,Spacy-TSVD_10
33.378765,-0.74700916,-5.096596,-1.3794322,1.1354281,-0.59877294,-0.44069144,-2.0522583,1.7947934,0.22723852
34.49725,13.547153,-3.3348305,1.2517228,-2.7505736,9.783404,6.205757,0.04755188,-3.2463048,-2.6202388
31.060856,-6.5184083,5.072536,1.5039887,-0.39325097,2.2299242,0.77095145,0.10771052,1.6385787,0.9443999
25.114502,-4.1279206,1.4776095,-0.45272526,-2.9896986,-0.85566044,-5.584652,2.86855,1.8190204,-0.27370125
28.69112,-0.03885657,7.261318,1.9197189,-1.1247275,1.5078449,0.76299137,-0.093525864,3.908524,-1.865946
31.20858,2.9409807,0.24521597,-2.4554098,-0.50303036,-0.3297663,2.8320565,-2.5391827,1.5801419,1.0401571
28.666374,-9.289993,0.80974305,0.22773355,-1.052751,-0.57852125,-4.794146,1.0153825,-0.5415993,1.8685423
22.577528,-3.9932365,5.7814703,-4.2737226,9.607545,0.51835257,1.0221602,1.7707783,0.7831578,-4.090295
31.185413,6.4402685,-3.7931838,-1.9461998,-1.0511875,-2.6076415,-1.2950271,-1.0364999,-0.5519988,2.909374
34.87385,-7.398382,-6.092985,-0.05065832,2.1083975,-4.511341,-0.35617247,-5.861074,-1.4195732,2.5308557
26.075277,16.300486,6.9900084,0.05482891,1.7795893,0.294752,6.246174,-3.2097785,-0.24457085,-2.424099
31.141634,-0.4747281,-3.7621076,-3.5020914,-3.9397268,-5.2956767,-7.0396004,4.165029,0.1102055,0.19519536
30.947706,-7.6381392,2.5377212,0.28549507,2.2776577,-0.95660555,3.1416764,-2.3583364,-2.0200844,-2.244802
26.858055,-1.8569037,1.6520926,-4.427511,-1.8019549,1.3467877,1.5597043,9.48547,-1.1440713,-1.8582646
34.651894,-1.2568835,-8.068905,1.4437516,7.3775744,5.101408,3.8552139,-0.27800322,-0.49313128,1.8418466
32.97817,-1.3187538,-0.87941563,-1.8729728,0.65465194,-0.64348483,-0.30210546,-0.44035694,0.5195045,1.7239187
30.488752,2.0964782,-3.6876993,-3.1800578,2.6511695,-4.476995,-3.4211798,-3.3136218,2.8436263,1.7361089
32.9057,-4.838701,0.7685667,-0.7127221,4.071324,-5.0677633,0.8600011,-2.730195,5.236538,-2.9679115
34.063423,-4.1135907,-1.0199292,-0.7878465,3.2203488,0.7151597,-3.1359625,-3.169153,2.6324096,3.551017
30.445677,-5.1881456,4.3761983,2.0833066,-0.8052965,-2.119509,2.155531,-2.3494544,4.646053,-2.221139
31.509062,-3.55698,-3.3528576,-1.1695834,-3.1413338,4.1648755,2.4352293,1.5191783,0.66541785,-0.9876289
31.774729,0.049996622,-2.126319,1.9144517,-4.321286,2.1925492,-3.8747447,-1.045539,-1.0962586,-0.8866172
30.938513,-16.945704,-1.3326985,0.6246354,5.5746627,-1.1049999,-4.006352,-2.7459927,2.4838574,3.5964866
29.588171,0.24978943,0.6326989,-0.17406629,-2.711099,-0.6603858,-3.2666738,-0.20380895,3.039608,0.58134973
23.651005,-6.1688275,1.7422193,0.29224133,-6.8782525,-1.7623369,-4.578833,-0.68523,-3.8575747,-4.979848
32.58893,-10.089685,-0.3525975,-2.1769137,-2.7965722,-5.203889,-5.39513,1.9138852,1.081716,-2.6589305
32.980503,-6.5705605,-4.981822,0.2372646,-5.39002,0.17697105,-0.024164455,-1.0632892,0.47857612,0.9302053
36.360394,-1.4248064,-3.477274,-5.6527905,-4.120257,-1.8116227,1.520341,-0.475225,-2.6512551,1.6403251
30.048794,-1.9890132,-5.6436243,-1.8908421,-3.7337368,-1.841032,-2.8952525,1.1781203,2.8637166,-3.558477
33.686417,-11.487166,-0.70970005,-1.2687207,2.1365802,0.94416046,3.9954414,-1.0216585,2.042058,2.5541077
28.720161,-11.274144,-3.7661288,-1.7894514,7.5392146,-1.2218876,3.1610947,1.1748241,-5.148331,-0.90220296
31.624691,9.239266,1.6056691,-1.0497396,0.054910902,-0.5160702,-2.6022933,-1.5872926,1.0159236,0.32522422
31.34176,-6.0148215,-5.010388,-1.7874159,-3.6751847,-3.5469353,-3.8710136,-1.9175901,2.3206263,-0.4996161
23.405418,1.5962496,3.7959569,-2.2377412,2.3590012,-0.68122166,-4.611172,1.185851,-4.2188997,-2.5400095
24.695452,-0.98252815,-6.710185,0.6128191,-1.0495304,-3.2332582,-1.8006809,-1.7348566,1.2409421,-0.34271005
28.638687,3.0280623,6.5755267,6.1503506,2.390083,10.276583,0.77428395,1.195088,4.7133217,1.1653581
26.013517,-9.6903,2.0808737,-2.4669578,0.07848877,2.654888,-3.3198962,5.6286364,1.1173446,-2.154565
33.186554,-3.78828,-0.3197829,-1.3372986,-0.5618694,-3.3617842,3.6942692,-2.4371278,1.8057795,-1.6221701
35.96991,-3.8342297,1.1670444,-1.5341973,-2.6089911,1.0689433,2.6423287,3.1611114,-2.124006,1.249399
32.683376,-13.050841,-5.4469824,3.554294,0.52774096,0.9302045,1.8493131,-2.2301211,-1.8551545,1.5177583
30.999023,-8.480819,3.8512623,1.0387394,0.38699806,4.3077965,-0.45470256,-4.2113905,0.54685396,0.8611281
32.21822,-4.753909,-0.9184043,-1.7753582,0.8719943,2.7151058,-0.59917885,2.2942302,2.6839116,2.0360594
25.674633,-1.3045462,1.8689582,8.134206,-2.2652113,1.7246513,-0.38888046,3.6513336,-1.8325441,-2.1808543
28.617123,-7.805055,2.8775575,-1.8780513,-3.1531107,-3.6915085,-0.39464715,0.14385602,-1.683976,3.0303025
34.801815,0.8242166,-4.180287,-0.027552068,-2.9869177,3.3250508,2.9318078,0.76743627,-1.7801917,-1.8672531
30.58469,12.101102,-4.6109757,-1.0272391,5.6918807,-1.1479424,-1.4216874,-2.985439,-4.2769737,0.6303758
34.040394,6.003341,0.71273637,-3.4145815,-1.3723727,0.1263693,1.0100278,-1.9292936,-1.7025487,3.6778343
29.899792,-2.8267884,3.2855043,1.5290082,1.0006236,-5.8979044,-1.7969047,5.3047805,1.6971844,-2.8070796
27.310251,-2.3121698,4.781613,5.626648,-2.5617118,-1.3930118,-4.710859,-0.8979361,5.1924095,5.247524
31.308401,-1.6939106,0.65997267,-2.0443165,5.2054534,3.337439,-1.316228,0.9743626,1.7678391,1.3148496
29.15909,-10.394176,2.9901211,0.6618574,-0.37950373,0.3866874,1.6331799,-4.3394914,-2.5525644,-0.7680731
36.489365,-4.2960286,-0.6120806,-5.4483695,0.5401656,-0.7754567,0.3066002,1.9898846,-3.832974,4.1732497
32.74435,5.618501,-5.448602,-3.467187,-6.0820637,1.9831655,-2.4351585,1.358315,-1.4603806,0.9882959
32.28586,-6.5028334,-2.009795,-1.5757865,-1.2740855,0.45583043,-2.7743018,0.10113532,2.2277992,-0.5611595
31.436792,1.8861684,5.641746,-3.0808222,-5.200501,-1.9654491,-3.9712574,2.2082262,-2.5434234,1.3082825
29.080849,3.208457,-0.3048396,-2.4754167,3.701525,0.089015864,-3.9658856,-0.8427473,-0.7608816,2.919006
36.11358,4.223845,-3.5306225,-2.9347968,-2.3713636,6.1146417,1.2961069,0.2580068,-2.6822953,0.4297412
18.180908,15.185988,-6.067797,14.536434,3.2173965,-5.302729,0.15515397,3.5459752,0.68638766,1.3768709
29.412903,-0.08881822,9.103427,1.9088618,1.3835869,-4.587698,2.1546094,-4.3464813,3.9111228,-4.818969
23.51099,-6.6716847,-1.8526592,0.6209486,1.9623184,0.72966415,-1.0621891,4.93513,0.15234423,-4.0976496
26.10082,-8.346898,1.110948,0.20964965,0.40517268,1.2951367,-1.6792501,5.5303493,-3.1196513,-3.271022
30.706738,-0.26651704,2.6854186,1.8302435,-4.605255,-0.6536158,-5.347244,0.41038427,-1.0839318,-1.9911
31.20144,-7.4630857,0.7161465,-2.1502125,-3.5793867,-1.3343495,-6.4671545,4.090498,-0.47551143,-4.237565
25.67034,-1.336067,0.91033363,1.59594,1.7756926,3.499186,-2.936128,5.5956554,0.76027215,-5.0726223
34.97618,-10.022473,-2.412521,-4.2885656,-2.6948805,-2.9688442,-1.3401753,0.15124549,-1.5000328,0.63511
32.660683,-2.7855124,-2.8883321,-3.7800434,-1.7203634,-0.38913214,-1.3330142,1.3457819,0.4645779,-0.13314666
29.039883,2.2623453,1.5108175,-0.7169362,2.0502598,-2.2495253,1.5406573,-0.659392,2.307237,1.1661737
36.476048,-5.7780128,-1.9356668,0.04637873,-2.622962,3.0496705,-0.12005193,-1.6077274,1.0906234,-0.19943596
26.614933,-5.66896,3.6710157,-0.50434184,2.501691,6.3697805,3.680093,3.7796612,2.7342784,0.74219704
32.556095,-7.570884,1.5186257,-2.5726953,-2.4747639,-3.246031,1.338024,1.5225507,2.6362839,0.22772382
21.839169,7.700548,-3.232799,14.349572,3.6383977,-8.508526,1.4442006,8.599118,-6.4742823,-3.5191367
31.177237,1.4455707,-4.497696,-2.9124901,7.3662715,-0.84227777,-0.24129817,-4.194618,-2.53403,0.7204307
29.428198,-4.132162,0.1219128,-1.847947,0.90526825,-2.0220044,-5.377142,0.3095774,1.1546488,-0.21909347
32.394363,-2.989319,-2.2588446,-5.2158093,6.6153536,-0.4822306,4.7837954,-1.3847555,0.090037525,3.8872714
32.669514,-10.117538,-2.1633635,-1.787855,0.49051368,0.6908647,2.663537,-0.48525593,0.749573,4.5044622
25.63943,6.487093,-11.836017,-0.5718629,-2.416911,1.1787277,-2.5541563,0.5707546,1.8964537,-0.92739666
32.558872,-5.0945473,1.5800828,2.0699613,1.142341,5.6883707,-1.728127,1.826774,-0.46655875,1.6753967
30.636406,-1.3183045,1.7963004,0.32164478,-1.7014966,-2.4307008,-5.5964456,-2.2822409,-2.744344,1.1917198
35.62307,-7.7371798,-2.9725904,0.45427033,-4.770042,3.147185,1.976865,-1.6338469,-2.4075902,0.15069503
26.973225,5.7631254,-6.3620977,17.614058,-5.763258,-0.87182784,2.743697,0.9625485,-6.86982,-5.907768
32.383305,-4.8370104,-1.4480807,3.0204368,1.3129922,-0.80297613,1.3152044,-6.126275,7.031059,0.98340434
28.151655,-2.6085255,-4.9670296,-3.237821,-2.1708872,1.3090687,-1.3651028,3.4220107,-0.22287416,-3.1338341
23.83158,1.1193941,-4.8090043,1.7562917,-0.33961794,-0.05608517,4.0141344,5.0588164,2.7006748,-1.478158
27.291676,-13.793423,-1.8327968,0.90931934,6.8318167,-0.91156787,-0.027807456,1.3692317,-4.4427786,-3.8980396
17.40985,0.891036,-6.871152,24.124214,-0.6590292,-3.0970645,0.97645295,4.993338,0.0047497023,-0.64277667
27.12404,-10.10075,-2.6466677,-3.0734487,4.8672395,-2.1584113,-1.3507226,4.3678527,0.33849454,-3.322789
35.484398,6.7698526,2.4297674,-2.3736284,-8.1298485,-1.4227521,8.815527,-3.4467132,0.28711864,-3.865024
30.072483,4.7570157,5.3702083,-1.8285546,-3.575274,0.17456232,0.29902676,-0.24577138,-0.39038035,1.854657
27.912552,17.822594,-6.7451906,12.353042,0.5991325,2.301003,0.13166763,1.2079557,-4.4819326,-2.230833
28.859287,-1.9965899,2.8440514,-1.3530244,0.06363221,-4.574184,1.44652,-3.0711071,0.76123327,-1.0868555
26.316309,-0.2952266,1.8423209,-0.64552194,-1.5048962,1.8055588,6.694783,-0.90793675,4.3069606,-0.032881737
33.45934,-8.390055,-7.2675714,2.4110663,-3.7459664,0.25316235,-3.9868789,-1.6274601,5.2685375,0.102602735
25.762398,-4.848043,-0.015289803,7.0926733,3.7602916,-2.835177,3.1961038,12.14691,-4.1210356,-1.802349
33.246284,-12.828702,-3.0177903,-4.3194537,6.1579843,-0.03659942,-1.0934407,1.5320442,-3.8071334,-0.3925213
31.343307,-5.695448,1.0895574,-1.266339,-0.8226526,-4.000037,-0.03391642,-3.1586995,-0.5438267,-0.4280732
36.578934,-4.325475,7.236714,-1.7265172,-1.9676815,-1.1883597,10.494453,-2.8536484,3.378427,0.25776103
28.829765,9.2496195,3.0876732,-1.2802225,2.4330654,-2.5525248,-2.5889714,-0.67118573,2.1070838,0.5614629
