Spacy-TSVD_1,Spacy-TSVD_2,Spacy-TSVD_3,Spacy-TSVD_4,Spacy-TSVD_5,Spacy-TSVD_6,Spacy-TSVD_7,Spacy-TSVD_8,Spacy-TSVD_9,Spacy-TSVD_10,Spacy-TSVD_11,Spacy-TSVD_12,Spacy-TSVD_13,Spacy-TSVD_14,Spacy-TSVD_15,Spacy-TSVD_16,Spacy-TSVD_17,Spacy-TSVD_18,Spacy-TSVD_19,Spacy-TSVD_20
33.37876,-0.74702024,-5.096623,-1.3793141,1.1354629,-0.5983251,-0.44062665,-2.0512283,1.7954234,0.22289391,-1.0887513,-0.2943502,-2.1310587,-0.012356733,-1.2012141,-0.07514926,-2.843571,1.6361872,-0.78280014,-0.6352278
34.49726,13.547139,-3.3348255,1.2518156,-2.7505543,9.783581,6.2056365,0.047701746,-3.245616,-2.622123,-2.6652262,-0.23418032,0.13781302,1.833839,1.6236479,-0.8490998,0.364579,-1.3003044,-2.2203147,0.017835421
31.06086,-6.51841,5.072572,1.5039048,-0.39318833,2.2304223,0.7710497,0.108803466,1.6381778,0.9430011,-2.7286658,1.1567292,-1.9379822,1.6347765,-1.2833414,0.58269495,0.024715204,1.0918784,1.2838764,1.5542927
25.114502,-4.127919,1.4776037,-0.45272756,-2.9896154,-0.85501164,-5.5844593,2.8702054,1.8191773,-0.27818158,0.77743965,-1.5601798,-0.69979864,0.8522345,2.843198,2.1035874,1.487562,0.35868913,3.6564415,-0.39543992
28.691124,-0.038854767,7.2613506,1.9195807,-1.124725,1.5080976,0.7630045,-0.09299098,3.9088647,-1.8684711,-1.6494952,2.9740572,-0.34109336,-0.39368084,-2.1661143,3.9053116,-1.2157823,2.2374473,-0.056501657,-1.8514977
31.208578,2.9409769,0.24515827,-2.4554048,-0.5030181,-0.32955548,2.8321006,-2.5387726,1.5799849,1.0396128,0.56943667,-2.2673912,0.07460818,0.6123308,-1.4523283,0.41507336,0.00919431,-1.5762422,0.7164572,0.3922488
28.666376,-9.289994,0.80975807,0.22770697,-1.0527818,-0.57869524,-4.794186,1.0151427,-0.54150087,1.8676721,3.5730367,2.4282248,-1.410635,-1.1083398,-0.4130635,1.363951,0.12606934,1.5031562,-1.6587399,0.63891166
22.577526,-3.9932325,5.781386,-4.2738366,9.60756,0.5189539,1.0222393,1.7722745,0.7837652,-4.097372,7.647115,0.51785654,-1.7738502,7.255682,-0.95788604,-2.4936073,0.8667078,2.5880618,0.6771285,-0.88880455
31.185417,6.4402547,-3.793223,-1.9461083,-1.0511689,-2.6074026,-1.294942,-1.0358987,-0.55197227,2.9078057,-0.8103296,0.1663682,0.17917055,-0.20192932,-0.4425583,-0.5270557,-0.5995983,-0.61542714,1.5573922,-0.0011057698
34.87385,-7.3983927,-6.0929723,-0.05056246,2.1083186,-4.51193,-0.35629708,-5.862462,-1.4192233,2.5335946,-2.8978055,0.38950303,-0.6737858,-1.0797656,-1.0788631,-0.27412683,0.6972267,1.6665131,-2.2125027,0.661857
26.07528,16.300484,6.9899898,0.05469421,1.7795771,0.29491082,6.246213,-3.2094622,-0.24479778,-2.4241683,-1.2470107,0.3020062,1.2688293,3.3691869,-0.7939478,0.69917536,-1.1031505,-2.1663477,-3.2458158,-1.2998598
31.141632,-0.4747363,-3.7621732,-3.5020144,-3.9397426,-5.295787,-7.039592,4.164723,0.109749205,0.19758959,2.836259,-0.80067456,1.0252761,-1.9405711,0.19565275,2.139644,2.4736483,-0.7757578,0.21885754,0.4001128
30.947706,-7.638144,2.5377324,0.28544238,2.2776694,-0.95644146,3.141725,-2.358046,-2.020359,-2.2446473,0.53234506,-0.4356467,-0.9001883,-2.5900562,0.816202,-0.2115434,0.6013552,-0.3395359,1.5048995,-0.3937661
26.858055,-1.8569055,1.6520001,-4.4275293,-1.801907,1.3472261,1.5597938,9.486383,-1.1443951,-1.8593711,0.08621151,-0.0932305,-0.73499334,-1.3883731,2.8343916,-0.70195884,-0.9223188,-1.4180807,1.0546014,0.95806295
34.651894,-1.2568989,-8.068878,1.4439225,7.3775797,5.1017036,3.8551185,-0.27758792,-0.4920089,1.8378695,-0.7526488,2.4967952,1.66707,-2.0184145,1.0162644,0.97048587,0.2965846,-0.29808486,0.9298272,-1.2757921
32.978172,-1.3187609,-0.8794514,-1.8729557,0.6546584,-0.6435026,-0.30208558,-0.44041345,0.5193977,1.7250344,-3.180838,-0.19506617,0.45580727,-0.28488508,1.7263167,-1.2035885,-0.3018147,-1.2608079,-0.2776642,0.12525918
30.48876,2.0964684,-3.6877608,-3.1800025,2.6511166,-4.4773836,-3.421217,-3.3144588,2.8434002,1.7388444,-0.4512404,0.9302529,1.5601581,0.11701517,-1.1984345,0.5959446,-0.5443646,-0.15922186,-1.4143677,0.021141997
32.905704,-4.838704,0.7685607,-0.71273005,4.0713773,-5.067266,0.860195,-2.7289596,5.236422,-2.9711204,0.8095258,1.3821886,-1.6866195,0.5334237,-1.8315042,1.3629365,-0.7687467,-1.5572124,0.008392585,0.12734723
34.063423,-4.1136,-1.0199405,-0.78782994,3.2203374,0.7151155,-3.1360044,-3.1692948,2.6325035,3.551394,-0.954936,-0.29065284,1.6138343,-0.102842376,1.8927374,1.3437456,-1.742713,0.2898139,-0.3102336,-0.70772594
30.445677,-5.1881456,4.3762465,2.0832317,-0.8052447,-2.1190228,2.1556876,-2.348351,4.645277,-2.2218604,-0.28122035,0.96710366,-1.4196419,-1.3821886,-0.82243586,1.2038672,-1.0998924,-0.691315,1.3138824,1.5665973
31.509066,-3.556985,-3.3528883,-1.1695558,-3.1415112,4.1635113,2.4347594,1.515765,0.6664223,-0.98155093,-1.4350832,-2.8051693,0.5582894,-1.7767521,-2.691148,-2.56703,1.1103033,2.9269295,-1.9163506,-1.2739233
31.774729,0.04998815,-2.1262794,1.9145079,-4.3212852,2.1925457,-3.874761,-1.0454621,-1.0957297,-0.88824534,-1.8539131,-2.164969,0.13427521,0.44572213,-0.79029685,1.5508969,-0.77807355,-0.3541773,-0.3574177,-0.44813958
30.93851,-16.945713,-1.3326694,0.62461543,5.574509,-1.1059854,-4.0066957,-2.7484703,2.483976,3.6018047,-1.5194782,1.0880369,0.033973947,-1.6575642,2.8243783,0.3367749,0.43237224,0.93153805,-3.291878,-0.40081018
29.588177,0.24978411,0.6326946,-0.1740641,-2.7110698,-0.6600586,-3.2666202,-0.20303348,3.039647,0.5790321,-1.383833,0.89864486,-1.717451,1.4148343,1.8792611,0.3263122,0.9926976,0.48326045,0.7882392,0.013158407
23.651003,-6.1688275,1.7422293,0.2921542,-6.878401,-1.7640334,-4.5790877,-0.6887737,-3.857258,-4.971597,0.71849525,-6.41197,3.6289537,-0.5037197,-0.8328283,2.259298,2.6975436,-0.83717114,-2.4809067,2.565265
32.58893,-10.08969,-0.35262582,-2.1769063,-2.7965527,-5.2038765,-5.3950233,1.9139868,1.0811207,-2.6566367,-1.7436064,-0.78790325,1.2841672,-1.5261754,1.5260867,-1.7508222,-0.71869224,-1.8682272,1.2288285,0.6370272
32.980503,-6.5705724,-4.981808,0.23738271,-5.3899784,0.17724398,-0.02408718,-1.0626081,0.47837445,0.92861235,2.7240307,-0.702519,0.02995924,2.321577,-0.054110277,1.0865862,1.0834185,0.046421245,1.2218086,0.65699524
36.360394,-1.4248152,-3.4773948,-5.6527295,-4.1203313,-1.8120974,1.520211,-0.47639382,-2.6516497,1.6435744,1.1907555,0.1609794,-0.30418205,0.5902014,0.2674681,1.5812125,0.034097753,0.48406804,-2.8241403,0.0017933466
30.048805,-1.989024,-5.6436644,-1.8907216,-3.7337644,-1.8410643,-2.8952978,1.1780001,2.8642993,-3.5596051,-0.120675944,-3.112355,-0.4290364,0.7025744,-2.7297862,1.6916353,1.5781839,1.1904944,0.6494912,-0.9301661
33.686417,-11.487173,-0.709716,-1.2687205,2.1365635,0.9439477,3.995409,-1.0222079,2.042002,2.556182,-1.580326,0.2863248,3.1381001,0.84896356,3.8919625,0.3039988,0.9896303,1.4061204,0.8110175,-0.16376628
28.720163,-11.274149,-3.7661524,-1.7893814,7.5392103,-1.2216308,3.1610968,1.1753312,-5.147883,-0.90523165,0.032513753,0.03547272,-1.9524364,-0.17618361,-0.44458532,1.2756904,-0.095871806,1.7995758,-1.1540964,0.5230073
31.624697,9.239263,1.6056372,-1.0497904,0.054872803,-0.5166964,-2.6023676,-1.5886452,1.0158818,0.32967946,-2.3515494,-2.7093277,1.8727393,-1.4128449,1.6296809,0.0021014868,1.201092,0.791828,0.44945467,0.49366543
31.341759,-6.014829,-5.0104194,-1.7873317,-3.675287,-3.5474832,-3.8711817,-1.9189175,2.3209953,-0.49759093,-1.4008691,-0.8163218,0.7717984,-0.0042009205,-0.57847995,-0.84230554,-1.1831083,1.2327937,-2.1625938,-0.00847179
23.40542,1.5962492,3.7959156,-2.2377975,2.3590522,-0.68054026,-4.610999,1.1876575,-4.2192016,-2.5453155,7.3700557,3.0987797,1.7881671,6.702534,4.7398596,-1.0275564,1.6229455,2.1193533,1.7997987,1.1353693
24.695452,-0.9825394,-6.710173,0.61294454,-1.0495934,-3.233578,-1.8007843,-1.735669,1.241222,-0.34135485,0.11149139,1.4639899,2.54585,-0.95500076,-2.2559686,-0.06720198,-0.5887258,0.3898647,0.054365523,-0.067327484
28.638687,3.0280604,6.575651,6.1501994,2.390052,10.275934,0.77406096,1.1934495,4.713491,1.170282,-3.6963964,0.1632722,5.235597,-0.66250354,2.4014928,-1.0748969,-0.34566858,-1.3740239,-2.062252,-0.059558608
26.013515,-9.690302,2.0808368,-2.467018,0.07845613,2.654377,-3.3199842,5.627502,1.1165537,-2.149146,-0.1165827,-0.13218664,2.1866813,-2.121425,2.035495,3.4106946,-1.3151844,-1.1730324,-1.8143657,1.123247
33.18655,-3.7882862,-0.3198049,-1.3372722,-0.5617866,-3.3611507,3.6945345,-2.4354973,1.8053385,-1.6253638,1.6759392,1.5524682,-0.5888709,0.17437029,2.4890037,0.70755076,1.9026443,-2.5778205,1.5166788,1.2095584
35.96991,-3.8342316,1.1670088,-1.5341846,-2.608918,1.0699327,2.6424456,3.1631725,-2.1231465,1.2421707,-3.353309,0.72836757,-3.7615857,0.8472248,-0.81093556,1.6834408,-1.3931649,2.7492259,1.2002486,-1.3073072
32.68338,-13.050855,-5.446897,3.5543952,0.5277161,0.9300526,1.8492246,-2.2305763,-1.855339,1.5191985,0.6270755,-0.6937497,0.5806887,-0.08302293,-0.6187288,3.1324723,-0.64175034,-1.2918768,-1.7173861,-0.8950782
30.999022,-8.480814,3.8512905,1.0386475,0.3869581,4.3074155,-0.45482072,-4.2123637,0.5465024,0.86501825,0.72075546,1.3773572,4.313957,-0.7819099,-0.8180304,0.1999048,-0.86503875,-1.8452429,-0.035985995,-1.2756042
32.21822,-4.7539144,-0.91843766,-1.7753426,0.8719764,2.715065,-0.59926516,2.2940516,2.6842132,2.0354607,-0.24860793,0.5566312,-0.7863887,1.2399449,-1.3509455,-1.8336599,-0.21513022,-1.1285243,-0.5604113,-1.2227372
25.674631,-1.3045511,1.8691423,8.134205,-2.2650228,1.725428,-0.38845414,3.6534748,-1.8343883,-2.1804726,-1.9118607,-3.7497203,-0.98970586,1.5961499,-1.1055895,0.20812517,-2.8059263,2.6749995,3.5597003,4.504076
28.61712,-7.805055,2.8775177,-1.8781235,-3.1531913,-3.6918306,-0.39480776,0.1428741,-1.6833111,3.0311115,3.5324817,0.59914523,2.815336,-3.6554012,0.6294376,-0.6426417,-2.6094668,1.9390427,-0.32202116,-0.13026096
34.801815,0.8242065,-4.1802926,-0.027454367,-2.9869328,3.3251412,2.931707,0.76738507,-1.7801484,-1.8677459,0.39281487,0.48997602,-1.7659496,-1.4767926,0.35278162,0.8013787,-0.35107464,-0.7964727,-0.37340295,-0.8070914
30.584696,12.101089,-4.611004,-1.0271395,5.6918697,-1.1477023,-1.4217137,-2.9850261,-4.2765417,0.6279948,-0.9130953,-2.0590215,-1.7027503,-0.8877032,-1.1067722,1.8319095,1.9271458,-0.222596,2.7177265,-0.7213125
