Spacy-TSVD_1,Spacy-TSVD_2,Spacy-TSVD_3,Spacy-TSVD_4,Spacy-TSVD_5
33.378765,-0.7470217,-5.0965743,-1.3793579,1.1344501
34.497253,13.547144,-3.3349369,1.2520692,-2.7475996
31.060856,-6.5184155,5.0725665,1.5038773,-0.39320672
25.114498,-4.127925,1.4775003,-0.45263365,-2.98814
28.691124,-0.038856994,7.261435,1.9193808,-1.1266987
31.208578,2.9409742,0.24517787,-2.4554098,-0.5030272
28.666374,-9.290002,0.8098497,0.22752729,-1.0551019
22.577526,-3.993237,5.7810717,-4.273439,9.612839
31.185413,6.44026,-3.793199,-1.946148,-1.0518371
34.87385,-7.398395,-6.092946,-0.05062345,2.1072388
26.07528,16.30049,6.989892,0.054934677,1.7828375
31.141638,-0.47473988,-3.762118,-3.5021276,-3.9413443
30.947706,-7.638148,2.5378249,0.28526038,2.27578
26.858055,-1.8569095,1.6520067,-4.427555,-1.8021885
34.65189,-1.256899,-8.0688305,1.4438268,7.376258
32.978172,-1.3187637,-0.8794928,-1.8728743,0.65559465
30.488754,2.0964673,-3.6877606,-3.1799932,2.6509287
32.9057,-4.8387117,0.7686448,-0.7128278,4.070228
34.063423,-4.113602,-1.0199925,-0.787751,3.2212372
30.445677,-5.188151,4.3763866,2.083018,-0.80756265
31.509068,-3.5569892,-3.3528748,-1.1696186,-3.1425266
31.774727,0.049988,-2.1262693,1.9145429,-4.321102
30.938509,-16.945715,-1.3326855,0.6246423,5.574686
29.588175,0.24978195,0.63260645,-0.17394823,-2.709553
23.651005,-6.168834,1.7421654,0.29223886,-6.877149
32.58893,-10.089702,-0.35261488,-2.1768997,-2.7966151
32.9805,-6.570574,-4.9818892,0.2375385,-5.3883724
36.360394,-1.4248195,-3.4774344,-5.652658,-4.119827
30.048803,-1.9890269,-5.6436787,-1.8907079,-3.7338703
33.686417,-11.48718,-0.7099398,-1.2684494,2.1401603
28.720163,-11.274155,-3.7661455,-1.7894368,7.538389
31.624697,9.239262,1.6055691,-1.049757,0.0556555
31.341759,-6.014834,-5.010453,-1.7872454,-3.6747615
23.40542,1.596247,3.7954855,-2.2372344,2.3663933
24.69545,-0.98254013,-6.7101035,0.6128623,-1.0510069
28.638685,3.0280626,6.5755677,6.150361,2.3924685
26.013515,-9.69031,2.080876,-2.4670818,0.07765859
33.18655,-3.7882905,-0.31983355,-1.3372309,-0.5610265
35.969906,-3.834236,1.1670159,-1.5342568,-2.609778
32.68338,-13.050857,-5.446826,3.554391,0.52719194
30.99902,-8.4808235,3.851338,1.0386095,0.38658133
32.21822,-4.7539177,-0.91843593,-1.7752951,0.8722473
